,text,airline_sentiment
0,@virginamerica what @dhepburn said.,0
1,@virginamerica plus you have added commercials to the experience... tacky.,-1
2,@virginamerica i did not today... must mean i need to take another trip!,0
3,@virginamerica it is really aggressive to blast obnoxious entertainment in your guests faces amp; they have little recourse,-1
4,@virginamerica and it is a really big bad thing about it,-1
5,@virginamerica seriously would pay 30 a flight for seats that did not have this playing.it is really the only bad thing about flying va,-1
6,@virginamerica yes nearly every time i fly vx this ear worm wont go away :),1
7,@virginamerica really missed a prime opportunity for men without hats parody there. ,0
8,@virginamerica well i did notbut now i do! :d,1
9,@virginamerica it was amazing and arrived an hour early. you are too good to me.,1
10,@virginamerica did you know that suicide is the second leading cause of death among teens 1024,0
11,@virginamerica i lt;3 pretty graphics. so much better than minimal iconography. :d,1
12,@virginamerica this is such a great deal! already thinking about my 2nd trip to @australia amp; i have not even gone on my 1st trip yet! ;p,1
13,@virginamerica @virginmedia I am flying your fabulous seductive skies again! u take all the stress away from travel ,1
14,@virginamerica thanks!,1
15,@virginamerica sfopdx schedule is still mia.,-1
16,@virginamerica so excited for my first cross country flight lax to mco I have heard nothing but great things about virgin america. 29daystogo,1
17,@virginamerica  i flew from nyc to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me. help!,-1
18,i  flying @virginamerica. ,0
19,@virginamerica you know what would be amazingly awesome? bosfll please!!!!!!! i want to fly with only you.,1
20,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???,-1
21,@virginamerica i love this graphic. ,1
22,@virginamerica i love the hipster innovation. you are a feel good brand.,1
23,@virginamerica will you be making bosgt;las non stop permanently anytime soon?,0
24,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ...  i want free internet,-1
25,@virginamerica status match program.  i applied and it is been three weeks.  called and emailed with no response.,-1
26,@virginamerica what happened 2 ur vegan food options?! at least say on ur site so i know i will not be able 2 eat anything for next 6 hrs fail,-1
27,@virginamerica do you miss me? do not worry we will be together very soon.,0
28,@virginamerica amazing to me that we cannot get any cold air from the vents. vx358 noair worstflightever roasted sfotobos,-1
29,@virginamerica lax to ewr  middle seat on a red eye. such a noob maneuver. sendambien andchexmix,0
30,@virginamerica hi! i just bked a cool birthday trip with you but i cannot add my elevate no. cause i entered my middle name during flight booking problems ,-1
31,@virginamerica are the hours of operation for the club at sfo that are posted online current?,0
32,@virginamerica help left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering lamp;f number at lax!,-1
33,@virginamerica awaiting my return phone call just would prefer to use your online selfservice option :(,-1
34,@virginamerica this is great news!  america could start flights to hawaii by end of year  via @pacificbiznews,1
35,nice rt @virginamerica: vibe with the moodlight from takeoff to touchdown. moodlitmonday sciencebehindtheexperience ,0
36,@virginamerica moodlighting is the only way to fly! best experience ever! cool and calming.  moodlitmonday,1
37,@virginamerica @freddieawards done and done! best airline around hands down!,1
38,@virginamerica when can i book my flight to hawaii??,0
39,@virginamerica your chat support is not working on your site: ,-1
40,@virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains! ,1
41,@virginamerica hey first time flyer next week  excited! but I am having a hard time getting my flights added to my elevate account. help?,-1
42,@virginamerica plz help me win my bid upgrade for my flight 227 laxgt;sea!!!  ,0
43,@virginamerica i have an unused ticket but moved to a new city where you do not fly. how can i fly with you before it expires? travelhelp,0
44,@virginamerica are flights leaving dallas for seattle on time feb 24?,0
45,@virginamerica I am elevategold for a good reason: you rock!!,1
46,@virginamerica  dream  ,0
47,@virginamerica wow this just blew my mind,1
48,@virginamerica @ladygaga @carrieunderwood after last night tribute soundofmusic oscars2015 @ladygaga! i think @carrieunderwood agree,0
49,@virginamerica @ladygaga @carrieunderwood all were entertaining,0
50,@virginamerica is flight 769 on it is way? was supposed to take off 30 minutes ago. website still shows on time not in flight. thanks.,0
51,@virginamerica @ladygaga @carrieunderwood julie andrews all the way though @ladygaga was very impressive! no to @carrieunderwood,1
52,@virginamerica wish you flew out of atlanta... soon?,0
53,@virginamerica @ladygaga @carrieunderwood julie andrews. hands down.,0
54,@virginamerica will flights be leaving dallas for la on february 24th?,0
55,@virginamerica hi! I am so excited about your 99 lgagt;dal deal but I have been trying 2 book since last week amp; the page never loads. thx!,-1
56,@virginamerica you know it. need it on my spotify stat guiltypleasures,1
57,@virginamerica @ladygaga @carrieunderwood  I am lady gaga!!! she is amazing! ,1
58,@virginamerica @ladygaga @carrieunderwood  carrie!,0
59,@virginamerica new marketing song?  let us know what you think?,0
60,@virginamerica @ladygaga @carrieunderwood julie andrews first but lady gaga wowd me last night. carrie? meh.,0
61,@virginamerica i called a 34 weeks ago about adding 3 flights from 2014 to my elevate...they still have not shown up...help!,-1
62,@virginamerica @ladygaga @carrieunderwood all are great  but i have to go with carrieunderwood ,0
63,@virginamerica @ladygaga @carrieunderwood sorry mary martin had it first!,0
64,@virginamerica @ladygaga @carrieunderwood  love all three but you really cannot beat the classics!,1
65,@virginamerica flight 0736 dal to dca 224 2:10pm. tried to check in could not. status please.,0
66,@virginamerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :,-1
67,@virginamerica hi virgin! I am on hold for 4050 minutes  are there any earlier flights from la to nyc tonight; earlier than 11:50pm?,-1
68,@virginamerica congrats on winning the @travelzoo award for best deals from an airline (us) ,1
69,@virginamerica everything was fine until you lost my bag,-1
70,@virginamerica need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,0
71,@virginamerica i emailed your customer service team. let me know if you need the tracking number.,0
72,@virginamerica hi i just booked a flight but need to add baggage how can i do this?,0
73,@virginamerica your airline is awesome but your lax loft needs to step up its game. 40 for dirty tables and floors? ,-1
74,@virginamerica not worried it is been a great ride in a new plane with great crew. all airlines should be like this.,1
75,@virginamerica awesome. i flew yall sat morning. any way we can correct my bill ?,1
76,@virginamerica or watch some of the best student films in the country at 35000 feet! cmfat35000feet ,0
77,@virginamerica first time flying you all. do you have a different ratepolicy for media bags? thanks,0
78,@virginamerica what is going on with customer service? is there anyway to speak to a human asap? thank you.,-1
79,@virginamerica what happened to doom?!,0
80,@virginamerica why cannot you supp the biz traveler like @southwestair  and have customer service like @jetblue neverflyvirginforbusiness,-1
81,@virginamerica I have applied more then once to be a member of the inflight crew team...im 100 interested. flightattendant dreampath g,1
82,@virginamerica you are the best!! whenever i (begrudgingly) use any other airline I am delayed and late flight :(,-1
83,@virginamerica i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.neverflyvirginforbusiness,-1
84,@virginamerica it was a disappointing experience which will be shared with every business traveler i meet. neverflyvirgin,-1
85,@virginamerica im having trouble adding this flight my wife booked to my elevate account. help? ,-1
86,@virginamerica cannot bring up my reservation online using flight booking problems code,0
87,@virginamerica random q: what is the distribution of elevate avatars? i bet that kitty has a disproportionate share ,0
88,@virginamerica i lt;3 flying va but life happens and i am trying to change my trip jperhi  can you help.va home page will not let me ?,0
89,@virginamerica why is the site down?  when will it be back up?,-1
90,@virginamerica you down with rnp? yeah you know me!,0
91,@virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account?,0
92,@virginamerica i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,-1
93,@virginamerica just landed in lax an hour after i should of been here. your no late flight bag check is not business travel friendly nomorevirgin,-1
94,@virginamerica why is flight 345 redirected?,0
95,@virginamerica is it me or is your website down?  btw your new website is not a great user experience.  time for another redesign.,-1
96,@virginamerica i cannot check in or add a bag. your website is not working. I have tried both desktop and mobile ,-1
97,@virginamerica  let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? uncomfortable,-1
98,@virginamerica what is your phone number. i cannot find who to call about a flight reservation.,-1
99,@virginamerica is anyone doing anything there today?  website is useless and no one is answering the phone.,-1
100,@virginamerica trying to add my boy prince to my ressie. sf this thursday @virginamerica from lax ,0
101,@virginamerica why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business. sfo2lax,-1
102,@virginamerica check out new music ,0
103,@virginamerica how is a direct flight fllgt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. sneaky,-1
104,@virginamerica your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,-1
105,@virginamerica  amazing customer  service again!  raeann in sf  she is the best! customerservice virginamerica flying,1
106,@virginamerica called your service line and was hung up on. this is awesome. sarcasm,-1
107,@virginamerica your site is tripping. I am trying to check in and I am getting the plain text version. i am reluctant to enter any card info.,-1
108,@virginamerica i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,0
109,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,1
110,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,0
111,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,1
112,@virginamerica has getaway deals through may from 59 oneway. lots of cool cities  cheapflights farecompare,0
113,@virginamerica have a great week ,1
114,@virginamerica come back to phl already. we need you to take us out of this horrible cold. pleasecomeback ,1
115,@virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop?,-1
116,@virginamerica is the best airline i have flown on.easy to change your reservationhelpful representatives amp; a comfortable flying experience,1
117,@virginamerica and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,1
118,@virginamerica your beautiful frontend design is down right now; but it was cool to still book my ticket bc all your backend was secure.,1
119,@virginamerica love the team running gate e9 at las tonight. waited for a delayed flight and they kept things entertaining,1
120,@virginamerica use another browser! 2015 amp; a brand with a reputation built on tech response does not have a crossbrowser compatible website?,-1
121,@virginamerica and now the flight flight booking problems site is totally down. folks what is the problem?,-1
122,@virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long. va370,-1
123,@virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight!,1
124,@virginamerica you have the absolute best team and customer service ever.  every time i fly with you I am delighted.  thank you!,1
125,@virginamerica do you provide complimentary upgrades to first class if there are available seats?,0
126,@virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!,-1
127,@virginamerica completely awesome experience last month boslas nonstop. thanks for such an awesome flight and depart time. vabeatsjblue,1
128,@virginamerica how can i watch the oscars2015 on my jfkgt;sfo flight?,0
129,@virginamerica is flight 882 cancelled flightled and what do i do if it is?,0
130,@virginamerica you are failing your customers because your check in process does not link to tsa precheck.,-1
131,@virginamerica @fidifamilies us too! terrible airline! just gave us a hotel hotline number and said sorry,-1
132,@virginamerica has flight number 276 from sfo to cabo san lucas arrived yet?,0
133,@virginamerica @chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!,-1
134,@virginamerica another delayed flight? likingyoulessandless,-1
135,@virginamerica i need to register a service dog for a first class ticket from sfo gt; dulles. the phone queue is an hour or longer. pls advise,-1
136,@virginamerica you rock for making it so i can watch oscars on my flight!! redcarpet oscars oscars2015,1
137,@virginamerica @reallytallchris dropped a track on you... ,0
138,@virginamerica always!!! xoxo,1
139,@virginamerica why cannot we book seats on your flights when we buy them or even during check in? creates so much anxiety! frustrated,-1
140,@virginamerica you had think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at @sfo lame,-1
141,@virginamerica best customer service rep in the world! irmafromdallas takes the cake!!!,1
142,@virginamerica can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service ,0
143,@virginamerica please provide status for flight 769.  i cant imagine it is on time as the web indicates  dude to weather here andor dallas,-1
144,@virginamerica you have amazing staff amp; super helpful as i just ran the @waltdisneyworld princesshalf they have spoiled me with comfort!!!,1
145,@virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love? sad face :(,-1
146,@virginamerica question: is it not possible to book a seat for an infant under 2? it is not giving me the option but we want a seat for him.,-1
147,always have it together!!! you are welcome! rt @virginamerica: @jessicajaymes you are so welcome.,1
148,@virginamerica flight home to dc sunset globe in backtowinter back to work! refreshed ,1
149,.@virginamerica i do not understand why you need a dm to give me an answer on if you have a damaged luggage policy.,-1
150,.@virginamerica does that mean you do not have a policy for destroyed luggage?,-1
151,@virginamerica is there special assistance if i travel alone w2 kids and 1 infant? priority boarding?,0
152,@virginamerica thank you for checking in. tickets are purchased and customer is happy ;),1
153,@virginamerica is your website ever coming back online?,0
154,@virginamerica   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23?,0
155,@virginamerica is flight 0769 out of lga to dfw on time?,0
156,@virginamerica my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,0
157,@virginamerica having problems flight booking problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-1
158,@virginamerica how do i reschedule my cancelled flightled flights online? the change button is greyed out!,-1
159,@virginamerica i rang but there is a wait for 35 minutes!! i can book the same ticket through a vendor fix your site,-1
160,@virginamerica got a flight (we were told) for 4:50 today..checked my email and its for 4;50 tomorrow. this is unacceptable.,-1
161,@virginamerica our flight into lga was cancelled flighted. we are stuck in dallas. i called to reschedule told i could get a flight for today...(12),-1
162,@virginamerica why do not any of the pairings include red wine?! only white is offered :( redwineisbetter,-1
163,@virginamerica is the website down?,-1
164,@virginamerica  your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? ,-1
165,@virginamerica I am disappointed that the agent at the designated silver status check in line @dullesairport closed to assist all pasengers,-1
166,@virginamerica plans to include austin to its dallas route  topnews arab emirates ,0
167,@virginamerica is it normal to receive no reply from central baggage baggageissues smh,-1
168,@virginamerica at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!,-1
169,@virginamerica to jump into the dallasaustin market  @dallasnews ,0
170,@virginamerica beats eps views takes on southwestair va luv  investors business daily ,0
171,@virginamerica lister to my show my on monday 1230 130,0
172,@virginamerica to begin dallasaustin flights in april  88.9 ketr ,0
173,@virginamerica congrats you just got all my business from ewr to sfolax. fuck you @united fl1289 sfoewr was the clincher...,-1
174,@virginamerica  i applied over 2 weeks ago. have not heard back and I am flying this week disappointed,-1
175,@virginamerica I would love to know what your policy is for damaged luggage.,0
176,@virginamerica thank you for the follow,1
177,@virginamerica  too many apologies! you r the worse airlines! do not even respond to your cudtomers,-1
178,@virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,-1
179,@virginamerica @ttinac11 i dm you,0
180,@virginamerica can you please have flights in  sjc ? i have no choice but to fly southwest to vegas ,0
181,@virginamerica too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!,-1
182,@virginamerica flight from bos gt; las tomorrow was cancelled flightled. no notification; wait times are 1 hour. will you rebook on another airline?,-1
183, rt @virginamerica: youve met your match. got status on another airline? upgrade (restr):  ,1
184,@virginamerica only way to fly! elevate gold,1
185,@virginamerica if only you guys had flights from cmh.,0
186,@virginamerica a lot of apologies being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever.,-1
187,@virginamerica  for all my flight stuff wrong and did nothing about it. had worst flight ever,-1
188,@virginamerica having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?,0
189,@virginamerica you will match my americanairlines status? cool!,1
190,@virginamerica:you have met your match.got status on another airline? upgrade :  @asarcoesar ? ,0
191,@virginamerica trying to book a flight with you guys and your website will not let me... about to lose my business,-1
192,@virginamerica you suck!,-1
193,@virginamerica thanks!,1
194,@virginamerica just dmd. same issue persisting.,-1
195,@virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids,-1
196,@virginamerica trying to book a flight amp; your site is down ,-1
197,@virginamerica you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and did not do anything,-1
198,@virginamerica you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed.  expected better,-1
199,@virginamerica i love your guys song! we are dancing to it for our high school dance revue,1
200,@virginamerica your website is down and I am trying to check in!,-1
201,@virginamerica done! thank you for the quick response apparently faster than sitting on hold ;),1
202,@virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,0
203,@virginamerica cool picture of another virginamerica plane off our wing. what a site! ,1
204,@virginamerica keep up the great work :),1
205,@virginamerica my goodness your people @love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,1
206,@virginamerica thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? seriously,1
207,@virginamerica can you please get me to the new york area before monday afternoon,0
208,@virginamerica thanks so much for the awesome support you guys rock!,1
209,@virginamerica seats in row 8 do not recline should mention that on your website soreback,-1
210,@virginamerica flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,-1
211,@virginamerica why cancelled flight flights today? no precipitation to be scared of!  ,-1
212,@virginamerica twitter team. you guys killed it for rescheduling me asap. thank you!,1
213,@virginamerica you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what is the deal?,-1
214,@virginamerica cant access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.,-1
215,@virginamerica on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight,0
216,@virginamerica your mobile site is broken shows header.elevateuser.numofpointsavailable  0  number points will not let me checkin,-1
217,@virginamerica i was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin,-1
218,@virginamerica why cancelled flight flight vx413? one sec its delayed on my to airport the next its cancelled flightled?gonna email or call me to reschedule?,-1
219,@virginamerica i did it but there was a problem in the link from the email for checkin. thanks,-1
220,@virginamerica had to change to another airline to get to dc today ... why is @united able to land in dc but not you? cost me 800 ...ugh,-1
221,@virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...,-1
222,@virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love! ,1
223,@virginamerica wish i can afford to fly with you next friday  going back home.. love everything  about your airline,1
224,@virginamerica  how are you gonna have a deal from dallas to dc but no deal from dc to dallas? sad,-1
225,@virginamerica its just a bug report guys,0
226,@virginamerica hold times at call center are a bit much,-1
227,@virginamerica like ,1
228,@virginamerica site down? help,-1
229,@virginamerica you have the best flight attendant ever!!! ,1
230,awesome! rt @virginamerica: watch nominated films at 35000 feet. meetthefleet oscars ,1
231,@virginamerica thanks so much!,1
232,@virginamerica trying to reset my password email never arrives. help?,-1
233,@virginamerica the only airline based in silicon valley! disruption fcmostinnovative incubator  @fastcompanys ,1
234,@virginamerica very nicely done. ,1
235,@virginamerica im looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! ;),1
236,@virginamerica what is the reason  for the delay of the departure of vx 413 from jfk this afternoon?,-1
237,@virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled?,-1
238,@virginamerica hahaha @virginamerica you guys are amazing. i love you guys!!!,1
239,@virginamerica sounds like fun !,1
240,@virginamerica any updates on flight 413 from jfk gt; lax,0
241,@virginamerica spruce moose!,0
242,@virginamerica the css on your site is a 404 right now please fix. site unusable.,-1
243,@virginamerica we are on flight 910 vegas to boston today checked in online but our bag count did not register. can i fix that somehow?,-1
244,@virginamerica classiq luv virgin america. greetingz,1
245,@virginamerica hi I am trying to do checkin but the website is not working. i tried 3 different browsers and the problem continues,-1
246,@virginamerica thanks for your great customer service today amp; for helping me get all my travel sorted out!,1
247,@virginamerica thanks guys! sweet route over the rockies airplanemodewason,1
248,@virginamerica love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco. only if i could get an iced coffee!,1
249,@virginamerica  the passenger in 7d flt 338 that assaulted me should not have flown. i trust he is banned. crew filed report to @faanews,-1
250,@virginamerica current bug on website shows select departure city when selecting destination city ,-1
251,@virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san. luggage agent miranda (i think) was not any help.,-1
252,@virginamerica thank you for the easy itinerary shift for impending weather. quick painless amp; free.,1
253,@virginamerica if you had love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq. ,0
254,@virginamerica thanks! good times there and back! vodkatonics the entire flightsfo,1
255,@virginamerica beats expectations shares take off  santa cruz sentinel ,0
256,@virginamerica any plans to start flying direct from dal to las?,0
257,@virginamerica big lovegratitude.mpower w  werin oscars2105 vipswagbags@ avalonhollywood ,0
258,@virginamerica you are doing a great job adding little luxuriesaesthetics that improve the air travel experience. thank you. keep it up!,1
259,@virginamerica requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member,-1
260,@virginamerica grand budapest hotel oscarscountdown,0
261,@virginamerica this is what you missed @newsvp. next trip to the 407.,0
262,@virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,-1
263,@virginamerica there is something wrong with you website in safari iphone,-1
264,@virginamerica thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet,1
265,@virginamerica already checked in so the page expired :x,-1
266,@virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,-1
267,@virginamerica shares rise on q4 financial results  usa today ,0
268,@virginamerica adds pillows instead of lieflat seats in first class arms race ,0
269,@virginamerica i see what you did there ;),1
270,@virginamerica way to take advantage of mayweatherpacquiao :),0
271,@virginamerica you know I am flying virgin for the fight mayweatherpacquiao,0
272,@virginamerica your inflight team makes the experience amazing!,1
273,@virginamerica cutest salt and pepper shaker ever. just when i think you guys cannot get any better you just do! ,1
274,@virginamerica moved my seat with no notice. better seat is cabin select not behind the row i selected disappointed,-1
275,@virginamerica shares up on 4q results  @iol ,0
276,@virginamerica fav airline,1
277,@virginamerica we have a hot female pilot! sweet! dca to sfo! :),1
278, when are you guys going to start flying to paris? @virginamerica: @lizautter you are welcome.,0
279,@virginamerica what is your policy on flying after surgery?  i am still waiting for answer so i can tell me doctor.,0
280,@virginamerica already contacted central baggage amp; sent dm. @renttherunway is charging me for the dress that was in the lost suitcase help,-1
281,@virginamerica thank you!!,1
282,@virginamerica is there anything going on with the website? I have been getting a lot of errors past 30 minutes.,-1
283,@virginamerica i think i left something on the plane yesterday. who do i call...ah!,0
284,@virginamerica i need you to follow back in order to dm.,0
285,@virginamerica need to start flying to @kciairport .  ,0
286,@virginamerica they told to check with the airline regulation first so that is why i contacted you.,0
287,@virginamerica @virginatlantic i have just checked in flight to sfo from lax amp; been told as atlantic flying club gold i get no benefits?!,-1
288,@virginamerica husband and i ordered three drinks via my screen and they never came. awesome!,-1
289,@virginamerica soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence :),-1
290,@virginamerica what is your policy on flying after surgery?,0
291,@virginamerica posts second consecutive fullyear net profit  @atwonline ,0
292,@virginamerica funny story your website is broken you have missing javascript and stylesheets on the checkin process. i dislike this!,-1
293,@virginamerica would love to do more for virgin just like i do for @gopro,1
294,@virginamerica results handily exceed forecasts  @nytimes ,0
295,@virginamerica i applied for a position in @flylaxairport and i was wondering if you guys received my application.,0
296,@virginamerica achieves a second year of profitability despite revenue pressure ...  @capaaviation ,0
297,@virginamerica gives positive outlook but sees increased competition  @reuters ,0
298,@virginamerica I am trying to check into my 10:50am ct flight tmm on the desktop website and it is not working (some sort of caching bug) sos,-1
299,@virginamerica weather delays gt; next few weeks ;) jfk bos dca,0
300,@virginamerica @madbee95 check the website before you go to the airport!,0
301,@virginamerica do you guys know your checkin links from emails are broken? ,-1
302,@virginamerica pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about 5 degrees amp; wthe windchill 8,0
303,@virginamerica loved it. cannot wait for mondays return flight... mostly just to watch the inflight safety video again. sorrynotsorry,1
304,@virginamerica lost my luggage 4 days ago on flight vx 112 from lax to iad amp; I am calling every day no response.please give me back my stuff,-1
305,@virginamerica the flight booking problems section of your website seems to be broken on chrome. might wanna look into that.,-1
306,@virginamerica hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,1
307,@virginamerica i mean. probably inappropriate while on board.. but it is on!,1
308,@virginamerica happy to spend the day together. let us do this!,1
309,@virginamerica is saving my sanity right now: ,0
310,@virginamerica missed my flight. how does standby work?,0
311,.@virginamerica they were very understanding and helped me out.  thx! comps,1
312,@virginamerica brought it all the way across the country today i see ,0
313,@virginamerica thank you! i absolutely will ,1
314,@virginamerica looks like a broken link for your assets ,-1
315,@virginamerica are you ready!? let us say it together.. noooo turbulence today! ,0
316,@virginamerica the manage itinerary section of your website seems to be broken for me ,-1
317,@virginamerica cannot check in your site looks like this every time it loads ,-1
318,@virginamerica can u help this  @freyabevanfund needs urgent treatment in2y old battling cancer could u help with flights freyasfund,0
319,@virginamerica may start service to hawaii from sanfrancisco this year  biztravel,0
320,@virginamerica other carriers are less than half price for a round trip fare. i am stunned. ,-1
321,@virginamerica wtf is happening in pdx late flight march such that one way from sfo is 550?,-1
322,@virginamerica add dtw and I am sold!,0
323,@virginamerica how about some free drinks on the flight back for the free promo?,1
324,@virginamerica @ssal thanks!,1
325,@virginamerica momma i made it! ,0
326,@virginamerica please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am. need it returned. call 9143290185.,0
327,@virginamerica help. i was on  flight  27 from jkf tonight. seat 7c left portfolio. need it back!!,0
328,@virginamerica @shrinerack seattle bound. wifey got me the duffle for vday. she is a keeper!!! holla!!! ,0
329,@virginamerica my luggage is gone. I have filed my paperwork promised a callemail. still no resolution or response from central luggage.,-1
330,@virginamerica debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks,0
331,@virginamerica thanks!,1
332,@virginamerica thanks for taking care of @suuperg on her flight!! rockstars travel,1
333,@virginamerica thanks for the lovely soft views! travel san to sfo ,1
334,@virginamerica i requested a mileage challenge for status several weeks ago online but have not heard back. how do i get help with this?,-1
335,@virginamerica just trying to book tickets to nyc and facing super fun broken styling. do not worry I will keep trying :),-1
336,@virginamerica many thanks for the follow.ourprincess freyasfund usa bandie looking for any help ,0
337,@virginamerica nice lofty view @flylaxairport. silverstatus ,0
338,@virginamerica applied for status match on feb 1. got confirmation email same day. still no news though. you guys have dropped ball late flightly ,-1
339,@virginamerica is my new go to airline,0
340,@virginamerica @virginatlantic @gma @americanair can you help ourprincess in need of some help in usa  ,0
341,@virginamerica i adore you and am so looking forward to my flight to austin in two weeks.,1
